show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,vote_average,popularity,final_rating
s20,Movie,Zoe,Drake Doremus,"Ewan McGregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",United States,2021-04-24,2018,R,104 min,Science Fiction,"ZOE tells a tale of forbidden love between an engineer and a robot. ZOE (Léa Seydoux) and COLE (Ewan McGregor) are colleagues and veiled lovers at a lab working to perfect romantic relationships. But their relationship is threatened when Zoe discovers the truth about their relationship, sending them into a spiral of confusion, betrayal and the most intense of human emotions, love.",6.0,11.662,6.997200000000001
s21,TV Show,Zoboomafoo,Unknown,"Martin Kratt, Chris Kratt, Gord Robertson","Canada, United States",2021-04-24,2001,TV-Y,1 Season,Kids,Chris and Martin Kratt bring their enthusiasm for animals to the pre-school set.,6.25,10.476,6.547500000000001
s22,TV Show,Zo Zo Zombie: Mini-Series,Unknown,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii","Japan, Canada",2021-04-24,2020,TV-Y7,1 Season,"Action, Anime, Comedy","Zo Zo Zombie is our undead hero who, with his best [human] friend Isamu, is just trying to do some good in this world but somehow always ends up in pieces. Literally.",5.238986111111112,7.2967916666666675,3.822779019733797
s23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",United States,2021-04-24,1941,NR,62 min,"Arts, Entertainment, and Culture, Comedy, Drama","""Hey, kids, let's get together and put on a show!"" That's the idea behind this raucous spoof about a vaudeville performer who goes to college to spy on her bratty son.",7.1,1.4,0.994
s24,TV Show,ZeroZeroZero,Unknown,"ANDREA RISEBOROUGH, HAROLD TORRES, CLAUDIA PINEDA, TCHEKY KARYO, GIUSEPPE DE DOMENICO, GABRIEL BYRNE, DANE DEHAAN, ADRIANO CHIARAMIDA",Italy,2021-04-24,2020,TV-MA,1 Season,TV Shows,"ZeroZeroZero series follows the journey of a cocaine shipment, from the moment a powerful cartel of Italian criminals decides to buy it until the cargo is delivered and paid for, passing through its packaging in Mexico and shipment across the Atlantic Ocean.",7.758,22.072,17.123457600000002
s25,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain","United States, France",2021-04-24,1991,R,94 min,Drama,"Zandalee has grown bored with her poet-turned-businessman husband and has an affair with his best friend. When their passions grow wild, it proves to be too hot for any of them to handle.",4.117,14.857,6.1166269
s26,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,Unknown,France,2021-04-24,2005,G,50 min,Documentary,"The Zambezi river is the fourth-longest river in Africa, flowing from the heart of Zambia all the way to the Indian Ocean. Along the way, we discover the breathtaking wildlife that call the river home, including hippos and crocodiles. As we follow the course of this infamous river, even more diverse wildlife is revealed along its shores. With danger at every turn, this is Zambezi!",0.0,0.6,0.0
s27,TV Show,Zahara: The Return,Unknown,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",Canada,2021-04-24,2020,TV-MA,1 Season,TV Shows,"The story explores the history of slavery and racism, and the tensions between a white supernatural world and a supernatural world of colour as an ancient black Druid rekindles her forbidden love with the son of her former master.",0.0,0.84,0.0
s28,TV Show,Z: The Beginning of Everything,Unknown,"Christina Ricci  , David Hoflin",United States,2021-04-24,2017,TV-MA,1 Season,"Comedy, Drama","""Z: The Beginning of Everything"" tells the story of Zelda Sayre Fitzgerald, the brilliant, beautiful Southern Belle who became the original flapper and icon of the wild, flamboyant Jazz Age.",7.4,11.462,8.48188
s29,TV Show,Yu-Gi-Oh! Zexal,Unknown,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",Japan,2021-04-24,2015,TV-Y7,3 Seasons,"Animation, Anime, Fantasy","It's time to feel the flow as Yu-Gi-Oh! Zexal blasts off into awesome new adventures! Seven legendary number cards are hidden throughout the cosmos, each holding a key to unlocking the ultimate power of the universe. Yuma and Astral must find them before the evil Barians do for whoever wields this force can use it to save the galaxy or destroy it!",6.7,21.667,14.51689
